"","source","target","value"
"128","ITS Data Center Operations","ITS Data Center Tech Analysts",14
"129","ITS Service Center","ITS Data Center Tech Analysts",9
"130","ITS Service Center","ITS General Computing Service Desk",28
"131","ITS Service Center","ITS IIA Sensitive Data",8
"132","ITS Service Center","ITS Migrations and Scheduling",8
"133","CSDC Billing Analysts","ITS Network",6
"134","CSDC Field Service Techs","ITS Network",14
"135","ITS NOC Network Operation Center","ITS Network",33
"136","ITS Service Center","ITS Network",40
"137","CSDC Billing Analysts","ITS NOC Network Operation Center",7
"138","CSDC Field Service Techs","ITS NOC Network Operation Center",29
"139","CSDC Fixed in Field","ITS NOC Network Operation Center",7
"140","ITS Service Center","ITS NOC Network Operation Center",107
"141","Video Services","ITS NOC Network Operation Center",13
"142","Voice Services Operations","ITS NOC Network Operation Center",19
"143","IAM MCommunity","ITS Postmaster",7
"144","ITS Service Center","ITS Postmaster",153
"145","ITS Service Center","ITS Security",26
"146","ITS Network","ITS Security Firewall",7
"147","ITS Service Center","ITS Security Firewall",108
"148","UMFirewall","ITS Security Firewall",11
"149","UMNet","ITS Security Firewall",9
"150","ITS Security","ITS Security Incident Response",6
"151","ITS Service Center","ITS Security Incident Response",24
"152","NIT Central 1","ITS Security Incident Response",8
"153","NIT Central 11","ITS Security Incident Response",8
"154","CSDC Engineering","ITS Service Center",8
"155","CTools","ITS Service Center",23
"156","FIN Financials","ITS Service Center",29
"157","HR Benefits","ITS Service Center",11
"158","HR Human Resources","ITS Service Center",27
"159","HR Payroll Time and Labor","ITS Service Center",7
"160","IAM MCommunity","ITS Service Center",31
"161","IAM Operations and Data","ITS Service Center",6
"162","ITS Access and Accounts","ITS Service Center",28
"163","ITS Administrative Systems Service Desk","ITS Service Center",8
"164","ITS AWI Web and Application Hosting","ITS Service Center",7
"165","ITS CTools Service Desk","ITS Service Center",247
"166","ITS General Computing Service Desk","ITS Service Center",79
"167","ITS Network","ITS Service Center",14
"168","ITS NOC Network Operation Center","ITS Service Center",14
"169","ITS Postmaster","ITS Service Center",8
"170","ITS User Advocate","ITS Service Center",8
"171","Jira","ITS Service Center",8
"172","LSA CET EHTS East Hall Technology Services","ITS Service Center",8
"173","LSA IT Service Desk","ITS Service Center",22
"174","MGoogle","ITS Service Center",12
"175","MiWorkspace Engineering Print","ITS Service Center",8
"176","MiWorkspace Engineering Windows","ITS Service Center",15
"177","My LINC","ITS Service Center",32
"178","NIT Central 11","ITS Service Center",8
"179","NIT Central 3","ITS Service Center",12
"180","NIT Central 4","ITS Service Center",18
"181","NIT Central 5","ITS Service Center",7
"182","NIT North 1","ITS Service Center",10
"183","NIT South 1","ITS Service Center",9
"184","NIT South 2","ITS Service Center",14
"185","Plant - Support","ITS Service Center",7
"186","SA Recruiting Admissions","ITS Service Center",20
"187","SA Student Records Advising Curriculum","ITS Service Center",38
"188","ServiceLink","ITS Service Center",9
"189","SiteMaker","ITS Service Center",12
"190","Sites Rovers","ITS Service Center",9
"191","SOE - Brandon Center Desk","ITS Service Center",15
"192","Batch Data Integration","ITS SM Analytics and Reporting",41
"193","ITS Service Center","ITS SM Service Management",11
"194","ServiceLink","ITS SM Service Management",12
"195","ITS Data Center Operations","ITS Storage",10
"196","ITS Service Center","ITS Storage",142
"197","ITS Service Center","ITS Systems Support",25
"198","Batch Data Integration","ITS Tech Pools - NET",10
"199","MReports","ITS Tech Pools - NET",17
"200","ITS Campus Computing Sites","ITS Tech Repair",10
"201","ITS Service Center","ITS Tech Repair",96
"202","MiWorkspace","ITS Tech Repair",17
"203","MiWorkspace Engineering Windows","ITS Tech Repair",8
"204","NIT Central 4","ITS Tech Repair",7
"205","Sites Admin and Facilities","ITS Tech Repair",6
"206","Sites Rovers","ITS Tech Repair",126
"207","ITS Access and Accounts","ITS Transition Desk",8
"208","ITS Service Center","ITS Transition Desk",30
"209","ITS Service Center","ITS User Advocate",25
"210","ITS Service Center","ITS Virtual Infrastructure",102
"211","Splunk","ITS Virtual Infrastructure",10
"212","ITS Service Center","ITS Web Team",24
"213","Business Objects","ITS WES Windows Enterprise Systems",18
"214","DART Development Alumni Application Service","ITS WES Windows Enterprise Systems",7
"215","ITS Service Center","ITS WES Windows Enterprise Systems",33
"216","ITS Service Center","ITS Windows Infrastructure",14
"217","MiServer","ITS Windows Infrastructure",6
"218","LSA IT Service Desk","LSA Accounts",12
"219","LSA CET Astronomy","LSA Astronomy Support",67
"220","LSA CET CaTS Computing and Technology","LSA CaTS Computing and Technology Support",27
"221","LSA CaTS Computing and Technology Support","LSA CaTS LARET",77
"222","LSA CET CaTS Computing and Technology","LSA CaTS LARET",113
"223","LSA IT Service Desk","LSA CaTS LARET",11
"224","LSA CaTS Computing and Technology Support","LSA CaTS Network",7
"225","LSA CET CaTS Computing and Technology","LSA CaTS Network",10
"226","LSA CaTS Computing and Technology Support","LSA CaTS Printing",17
"227","LSA CET CaTS Computing and Technology","LSA CaTS Printing",23
"228","LSA CaTS Computing and Technology Support","LSA CaTS Windows",85
"229","LSA CET CaTS Computing and Technology","LSA CaTS Windows",119
"230","LSA IT Service Desk","LSA CaTS Windows",6
"231","LSA IT Service Desk","LSA CET EHTS East Hall Technology Services",14
"232","LSA CSG Computer Support Group - MLB","LSA CSG - Instructional Computing",9
"233","LSA IT Service Desk","LSA CSG - Instructional Computing",10
"234","ITS Service Center","LSA CSG Computer Support Group - 500 S State",22
"235","LSA IT Service Desk","LSA CSG Computer Support Group - 500 S State",146
"236","ITS Service Center","LSA CSG Computer Support Group - Angell Hall",15
"237","LSA IT Service Desk","LSA CSG Computer Support Group - Angell Hall",163
"238","ITS Service Center","LSA CSG Computer Support Group - MLB",20
"239","LSA IT Service Desk","LSA CSG Computer Support Group - MLB",169
"240","LSA IT Service Desk","LSA DMC Web Services",19
"241","LSA RSN Research Support North - Chemistry","LSA Earth and Environmental Sciences Linux Support",6
"242","ITS Service Center","LSA EHTS East Hall Technology Services",10
"243","LSA CET EHTS East Hall Technology Services","LSA EHTS East Hall Technology Services",310
"244","LSA EHTS Mac","LSA EHTS East Hall Technology Services",11
"245","LSA IT Service Desk","LSA EHTS East Hall Technology Services",36
"246","LSA Security","LSA EHTS East Hall Technology Services",8
"247","LSA CET EHTS East Hall Technology Services","LSA EHTS Linux",14
"248","ITS Service Center","LSA EHTS Mac",7
"249","LSA CET EHTS East Hall Technology Services","LSA EHTS Mac",162
"250","LSA EHTS East Hall Technology Services","LSA EHTS Mac",39
"251","LSA IT Service Desk","LSA EHTS Mac",24
"252","ITS Service Center","LSA EHTS Print",9
"253","LSA CET EHTS East Hall Technology Services","LSA EHTS Print",47
"254","LSA EHTS East Hall Technology Services","LSA EHTS Print",7
"255","LSA IT Service Desk","LSA EHTS Print",17
"256","LSA CET EHTS East Hall Technology Services","LSA EHTS Students",6
"257","LSA CET EHTS East Hall Technology Services","LSA EHTS Web",7
"258","ITS Service Center","LSA EHTS Windows",7
"259","LSA CET EHTS East Hall Technology Services","LSA EHTS Windows",78
"260","LSA EHTS East Hall Technology Services","LSA EHTS Windows",32
"261","LSA IT Service Desk","LSA EHTS Windows",20
"262","ITS Service Center","LSA Infrastructure",13
"263","LSA IT Service Desk","LSA Infrastructure",54
"264","Desktop Backup","LSA IT Service Desk",13
"265","ITS Service Center","LSA IT Service Desk",109
"266","LSA CET EHTS East Hall Technology Services","LSA IT Service Desk",8
"267","LSA CSG Computer Support Group - 500 S State","LSA IT Service Desk",8
"268","LSA DMC Web Services","LSA IT Service Desk",11
"269","UmichITAM","LSA IT Service Desk",7
"270","LSA Infrastructure","LSA Network",10
"271","ITS Service Center","LSA RSN Research Support North - Chemistry",17
"272","LSA CET RSN Research Support North","LSA RSN Research Support North - Chemistry",237
"273","LSA IT Service Desk","LSA RSN Research Support North - Chemistry",87
"274","LSA RSN Research Support North - Kraus","LSA RSN Research Support North - Chemistry",12
"275","UmichITAM","LSA RSN Research Support North - Chemistry",6
"276","LSA CET RSN Research Support North","LSA RSN Research Support North - Kraus",295
"277","LSA IT Service Desk","LSA RSN Research Support North - Kraus",72
"278","LSA RSN Research Support North - Chemistry","LSA RSN Research Support North - Kraus",10
"279","ITS Service Center","MBox",78
"280","MGoogle","MBox",18
"281","ITS Service Center","MCloud",13
"282","ITS Service Center","MGoogle",231
"283","LSA IT Service Desk","MGoogle",11
"284","ITS Service Center","MiDatabase",25
"285","ITS Service Center","MiServer",87
"286","ITS Service Center","MiVideo",9
"287","Depot","MiWorkspace Advance Team",6
"288","ITS Service Center","MiWorkspace Advance Team",12
"289","NIT North 1","MiWorkspace Advance Team",6
"290","ITS Service Center","MiWorkspace Engineering Mac",23
"291","Sites Rovers","MiWorkspace Engineering Mac",14
"292","ITS Service Center","MiWorkspace Engineering Print",187
"293","NIT Central 3","MiWorkspace Engineering Print",10
"294","NIT Central 5","MiWorkspace Engineering Print",10
"295","NIT North 1","MiWorkspace Engineering Print",11
"296","NIT South 2","MiWorkspace Engineering Print",15
"297","Sites Rovers","MiWorkspace Engineering Print",63
"298","Depot","MiWorkspace Engineering Windows",19
"299","ITS Service Center","MiWorkspace Engineering Windows",185
"300","ITS Storage","MiWorkspace Engineering Windows",8
"301","ITS Tech Repair","MiWorkspace Engineering Windows",9
"302","ITS Transition Desk","MiWorkspace Engineering Windows",12
"303","MiWorkspace","MiWorkspace Engineering Windows",7
"304","NIT Central 3","MiWorkspace Engineering Windows",11
"305","NIT Central 4","MiWorkspace Engineering Windows",11
"306","NIT South 1","MiWorkspace Engineering Windows",8
"307","NIT South 2","MiWorkspace Engineering Windows",9
"308","Sites Consultants","MiWorkspace Engineering Windows",10
"309","Sites Rovers","MiWorkspace Engineering Windows",29
"310","Virtual Desktop Infrastructure","MiWorkspace Engineering Windows",18
"311","ITS Service Center","MReports",24
"312","ITS Service Center","MRequest",11
"313","ITS Service Center","Museum of Art - Museum Technology",9
"314","ITS Service Center","My LINC",60
"315","Depot","NIT Central 1",29
"316","ITS Service Center","NIT Central 1",158
"317","ITS Tech Repair","NIT Central 1",8
"318","MiWorkspace Engineering Windows","NIT Central 1",7
"319","Depot","NIT Central 11",68
"320","ITS Service Center","NIT Central 11",263
"321","ITS Tech Repair","NIT Central 11",26
"322","MiWorkspace Engineering Print","NIT Central 11",6
"323","MiWorkspace Engineering Windows","NIT Central 11",6
"324","NIT Central 1","NIT Central 11",22
"325","Depot","NIT Central 3",263
"326","ITS Service Center","NIT Central 3",1318
"327","ITS Tech Repair","NIT Central 3",35
"328","ITS Transition Desk","NIT Central 3",17
"329","MiWorkspace Engineering Print","NIT Central 3",13
"330","MiWorkspace Engineering Windows","NIT Central 3",18
"331","NIT Central 4","NIT Central 3",8
"332","NIT Central 5","NIT Central 3",8
"333","NIT North 1","NIT Central 3",23
"334","NIT South 2","NIT Central 3",7
"335","Plant - Support","NIT Central 3",11
"336","UNIT University Library","NIT Central 3",8
"337","CoP - Unit IT","NIT Central 4",36
"338","Depot","NIT Central 4",297
"339","ITS Service Center","NIT Central 4",1543
"340","ITS Tech Repair","NIT Central 4",29
"341","ITS Transition Desk","NIT Central 4",14
"342","MiWorkspace Engineering Print","NIT Central 4",8
"343","MiWorkspace Engineering Windows","NIT Central 4",17
"344","NIT Central 3","NIT Central 4",23
"345","NIT South 2","NIT Central 4",7
"346","SNRE - Unit IT","NIT Central 4",51
"347","SOE - Brandon Center Desk","NIT Central 4",41
"348","UNIT University Library","NIT Central 4",47
"349","Depot","NIT Central 5",138
"350","ITS Service Center","NIT Central 5",1005
"351","ITS Tech Repair","NIT Central 5",17
"352","ITS Transition Desk","NIT Central 5",16
"353","MiWorkspace Engineering Print","NIT Central 5",6
"354","MiWorkspace Engineering Windows","NIT Central 5",10
"355","NIT Central 3","NIT Central 5",47
"356","NIT North 1","NIT Central 5",7
"357","NIT South 2","NIT Central 5",12
"358","Ross - Classroom Support","NIT Central 5",16
"359","Ross - Network-Infrastructure","NIT Central 5",7
"360","Ross - Orders","NIT Central 5",69
"361","Sites Rovers","NIT Central 5",7
"362","ITS Service Center","NIT Extended Hours",8
"363","NIT South 2","NIT Extended Hours",7
"364","Depot","NIT North 1",259
"365","ITS Service Center","NIT North 1",851
"366","ITS Tech Repair","NIT North 1",21
"367","ITS Transition Desk","NIT North 1",15
"368","MiWorkspace","NIT North 1",16
"369","MiWorkspace Engineering Mac","NIT North 1",7
"370","MiWorkspace Engineering Print","NIT North 1",12
"371","MiWorkspace Engineering Windows","NIT North 1",15
"372","NIT Central 3","NIT North 1",13
"373","NIT Central 4","NIT North 1",9
"374","NIT South 2","NIT North 1",10
"375","Plant - Support","NIT North 1",9
"376","UNIT University Library","NIT North 1",6
"377","Depot","NIT South 1",92
"378","ITS Service Center","NIT South 1",794
"379","ITS Tech Repair","NIT South 1",30
"380","ITS Transition Desk","NIT South 1",11
"381","MiWorkspace Engineering Windows","NIT South 1",15
"382","OUD IT - Support","NIT South 1",11
"383","Depot","NIT South 2",190
"384","Facilities and Operations AEC - Unit IT","NIT South 2",8
"385","ITS Access and Accounts","NIT South 2",7
"386","ITS Service Center","NIT South 2",795
"387","ITS Tech Repair","NIT South 2",42
"388","ITS Transition Desk","NIT South 2",31
"389","MiWorkspace","NIT South 2",22
"390","MiWorkspace Engineering Windows","NIT South 2",22
"391","NIT Central 4","NIT South 2",10
"392","NIT Central 5","NIT South 2",10
"393","NIT North 1","NIT South 2",10
"394","NIT South 1","NIT South 2",12
"395","Plant - Support","NIT South 2",80
"396","ITS Service Center","OARS Online Access Request System",30
"397","ITS Service Center","Oracle DBA",11
"398","ITS Service Center","Pinnacle",111
"399","ITS Service Center","Plant - Dev",15
"400","Plant - Support","Plant - Dev",22
"401","ITS Service Center","Plant - MIS",44
"402","Plant - Support","Plant - MIS",33
"403","ITS Service Center","Plant - Support",263
"404","ITS Transition Desk","Plant - Support",6
"405","NIT South 2","Plant - Support",24
"406","ITS Service Center","Plant - Systems",18
"407","Plant - Support","Plant - Systems",16
"408","ITS Service Center","Plant - Web",38
"409","Plant - Support","Plant - Web",33
"410","ITS Service Center","Planview",59
"411","ITS Service Center","Qualtrics",126
"412","ITS Service Center","Ross - Classroom Support",71
"413","NIT Central 5","Ross - Classroom Support",35
"414","ITS Service Center","Ross - Network-Infrastructure",28
"415","NIT Central 5","Ross - Network-Infrastructure",28
"416","ITS Service Center","Ross - Orders",15
"417","NIT Central 5","Ross - Orders",12
"418","ITS Service Center","Ross - Web-Application",46
"419","Ross - Classroom Support","Ross - Web-Application",21
